iter	Passed	Remaining
0	148	147913
1	149	74527
2	150	49894
3	150	37579
4	151	30181
5	152	25249
6	153	21739
7	154	19101
8	154	17045
9	155	15397
10	156	14049
11	157	12944
12	158	11998
13	158	11186
14	159	10477
15	160	9857
16	161	9310
17	161	8824
18	162	8391
19	163	8000
20	163	7644
21	164	7323
22	165	7030
23	166	6764
24	167	6519
25	167	6290
26	168	6080
27	169	5883
28	170	5700
29	170	5527
30	171	5365
31	172	5215
32	173	5072
33	173	4938
34	174	4813
35	175	4696
36	176	4585
37	176	4479
38	177	4376
39	178	4280
40	179	4188
41	179	4100
42	180	4017
43	181	3937
44	181	3861
45	182	3788
46	183	3717
47	184	3653
48	184	3589
49	185	3528
50	186	3469
51	187	3412
52	187	3357
53	188	3304
54	189	3253
55	190	3204
56	190	3157
57	191	3110
58	192	3066
59	193	3024
60	194	2988
61	194	2948
62	195	2908
63	196	2870
64	197	2834
65	197	2799
66	198	2764
67	199	2730
68	199	2697
69	200	2665
70	201	2634
71	202	2604
72	202	2575
73	203	2546
74	204	2518
75	204	2491
76	205	2465
77	206	2440
78	207	2415
79	208	2395
80	209	2372
81	209	2348
82	210	2326
83	211	2305
84	212	2284
85	212	2263
86	213	2242
87	214	2222
88	215	2201
89	215	2181
90	216	2162
91	217	2143
92	217	2125
93	218	2108
94	219	2090
95	220	2073
96	220	2056
97	221	2040
98	222	2024
99	223	2008
100	223	1992
101	224	1977
102	225	1961
103	226	1947
104	226	1933
105	227	1918
106	228	1904
107	229	1892
108	229	1878
109	230	1865
110	231	1852
111	231	1839
112	232	1827
113	233	1814
114	234	1802
115	235	1791
116	235	1779
117	236	1768
118	237	1756
119	238	1745
120	238	1735
121	239	1724
122	240	1713
123	241	1703
124	241	1692
125	242	1682
